nf_value,count
GLOBAL LIBERTY INS. CO,6
EMBLEM HEALTH,6
CHUBB (WC),6
TSC DIRECT,6
AMERICAN INDEPENDENT INSURANCE COMPANY,6
NORTH CAROLINA CLAIMS OFFICE,6
GRANADA INS CO,6
AMERICAN UNITED TRANSPORTATION,6
AMICA INS,6
NORTH AMERICAN RISK SERVICES,6
HIGH POINT PROPERTY AND CASUALTY INSURANCE COMPANY,6
COUNTRY-WIDE INSURACE,6
NATIONAL CONTINENTAL CO.,6
ROOT INSURANCE COMPANY,6
MIDVALE INDEMNITY COMPANY NAIC,6
ZURICH NORTH AMERICAN INSURANCE COMPANY,6
GALLAGHER BASSETT SRVS,6
NATIONAL SPECIALITY INSURANCE COMPANY,6
Amazon Logistics Insurance Company,6
MTA BUS COMPANY / JFK DEPOT,6
MITSUI SUMITOMO,6
UNITED AUTOMOBILE INS,6
CNA INSURANCE CO.,6
K2 Claims Insurance Services,6
Sunz Insurance Company,6
Berkley Specialty Insurance Company,6
COUNTRYWAY INSURANCE,5
ELCO INSURANCE COMPANY,5
ELCO ADMINISTRATION SERVICE,5
AMERICAN UNITED TRANSPORTATION c/o ABRAMS & FENSTERMAN,5
GAINSCO INSURANCE COMPANY,5
NY CENTRAL MUTUAL FIRE INS,5
THE STATE INSURANCE FUND,5
CARISK (WC),5
FARM FAMILY CASUALTY,5
NYC LAW DEPARTMENT,5
PROPERTY AND CASUALTY INSURANCE COMPANY OF HARTFOR,5
AMERICAN INDEPENDENT INSURANCE,5
BERKSHIRE HATHAWAY GUARD,5
Assurant Insurance,5
Intact Insurance,5
CON EDISON,5
STILL WATER INSURACE,5
AMERICAN NATIONAL PROPERTY AND CASUALTY INSURANCE,5
STATE INSURANCE FUND,5
PROTECTIVE INS,5
GENOTEQ CLAIMS INVESTIGATIONS C/O ACCIDENT FUND INSURANCE COMPANY OF AMERICA,5
American National United Farm Insurance,5
REPUBLIC INSURANCE COMPANY,5
PERSONAL SERVICE INSURANCE CO,5
UTICA NATIONAL INS CO.,5
FALLS LAKE INSURANCE,5
BERKSHIRE HATHAWAY ASSURANCE CORPORATON,5
ELEPHANT INSURANCE COMPANY,5
AUTO OWNERS INSURANCE,5
UNITRIN SAFEGUARD INSURANCE COMPANY-NAIC-40703,5
ESURANCE INSURANCE COMPANY OF NEW JERSEY,5
TREXIS INSURANCE CORPORATION,4
AMERIPRISE AUTO & HOME INS. CO.,4
GERBER & GERBER INSURANCE CO.,4
GLADES CLAIM MANAGEMENT COMPANY,4
James River Insurance,4
DRIVERS INSURANCE COMPANY,4
TOKIO MARINE INSURANCE COMPANY,4
SUFFOLK COUNTY TRANSIT,4
MARYLAND AUTOMOBILE INSURANCE FUND,4
PERMANENT GENERAL ASSURANCE CORPORATION OF OHIO,4
"GALLAGHER BASSETT SERVICES, INC.",4
Country Financial Insurance Group,4
PILGRIM INS. CO.,4
test11,4
Home State County Mutual Ins Co.,4
AMERICAN FREEDOM INSURANCE COMPANY,4
AMTRUST NORTH AMERICAN,4
CLAIMS SERVICE BUREAU,4
OCEAN HARBER INS. CO.,4
The Littleton Group,4
SAFE INSURANCE COMPANY,4
HERTZ CLAIM MANAGEMENT CORP,4
AMICA INS. CO.,4
ALLIANZ INSURANCE COMPANY,4
ASSIGNED RISK MANAGEMENT,4
