nf_value,count,tier,matched_canonical,brand,lev
PROGRESSIVE MAX INSURANCE COMPANY,79,exact,Progressive Max Insurance Company,,0
ESIS INSURANCE COMPANY,79,exact,ESIS Insurance Company,,0
AMERICAN FAMILY CONNECT INSURANCE COMPANY,76,exact,American Family Connect Insurance Company,,0
UNITED FARM FAMILY INSURANCE COMPANY,75,exact,United Farm Family Insurance Company,,0
"SAFECO NATIONAL INSURANCE COMPANY,",70,exact,Safeco National Insurance Company,,0
AMICA PROPERTY AND CASUALTY INSURANCE COMPANY,67,exact,Amica Property and Casualty Insurance Company,,0
CITY OF NEW YORK OFFICE OF COMPTROLLER,64,exact,The City of New York Office of The Comptroller,,0
NATIONWIDE GENERAL INSURANCE COMPANY,64,exact,Nationwide General Insurance Company,,0
Integon National Insurance Company,64,exact,Integon National Insurance Company,,0
UNITRIN SAFEGUARD INSURANCE COMPANY,62,exact,Unitrin Safeguard Insurance Company,,0
TRAVELERS PERSONAL INSURANCE COMPANY,61,exact,Travelers Personal Insurance Company,,0
21st Century North America Insurance Company,59,exact,21st Century North America Insurance Company,,0
COUNTRYWAY INSURANCE COMPANY,58,exact,Countryway Insurance Company,,0
Esurance Property and Casualty Insurance Company,56,exact,Esurance Property and Casualty Insurance Company,,0
PROGRESSIVE SPECIALTY INSURANCE COMPANY,55,exact,Progressive Specialty Insurance Company,,0
LANCER INSURANCE COMPANY,54,exact,Lancer Insurance Company,,0
ALLSTATE PROPERTY AND CASUALTY INSURANCE COMPANY,53,exact,Allstate Property and Casualty Insurance Company,,0
GARRISON PROPERTY & CASUALTY INSURANCE COMPANY,52,exact,Garrison Property and Casualty Insurance Company,,0
MAPFRE INSURANCE COMPANY,51,exact,Mapfre Insurance Company,,0
THE STANDARD FIRE INSURANCE COMPANY,50,exact,Standard Fire Insurance Company,,0
ESSENTIA INSURANCE COMPANY,50,exact,Essentia Insurance Company,,0
"NATIONAL GENERAL INSURANCE ONLINE, INC.",47,exact,"National General Insurance Online, Inc.",,0
SAFECO INSURANCE COMPANY OF AMERICA,47,exact,SAFECO Insurance Company of America,,0
"STILLWATER PROPERTY AND CASUALTY INSURANCE COMPANY,",47,exact,Stillwater Property and Casualty Insurance Company,,0
STANDARD FIRE INSURANCE COMPANY,45,exact,Standard Fire Insurance Company,,0
"MAYA ASSURANCE COMPANY,",45,exact,Maya Assurance Company,,0
ACE AMERICAN INSURANCE COMPANY,44,exact,ACE American Insurance Company,,0
SEDGWICK CLAIMS,43,exact,Sedgwick Claims,,0
FARMERS GROUP PROPERTY AND CASUALTY INSURANCE COMPANY,42,exact,Farmers Group Property and Casualty Insurance Company,,0
METROPOLITAN GENERAL INSURANCE COMPANY,40,exact,Metropolitan General Insurance Company,,0
NATIONWIDE MUTUAL INSURANCE COMPANY,39,exact,Nationwide Mutual Insurance Company,,0
Zurich American Insurance Company,39,exact,Zurich American Insurance Company,,0
AMICA MUTUAL INSURANCE COMPANY,38,exact,Amica Mutual Insurance Company,,0
ALLSTATE INDEMNITY COMPANY,37,exact,Allstate Indemnity Company,,0
MICHIGAN MILLERS MUTUAL INSURANCE COMPANY,36,exact,Michigan Millers Mutual Insurance Company,,0
Permanent General Assurance Corporation,36,exact,Permanent General Assurance Corporation,,0
Sentry Casualty Company,35,exact,Sentry Casualty Company,,0
REPWEST INSURANCE COMPANY,33,exact,Repwest Insurance Company,,0
DAIRYLAND INSURANCE COMPANY,32,exact,Dairyland Insurance Company,,0
Greenwich Insurance Company,31,exact,Greenwich Insurance Company,,0
INFINITY INSURANCE COMPANY,31,exact,Infinity Insurance Company,,0
THE CITY OF NEW YORK OFFICE OF THE COMPTROLLER,31,exact,The City of New York Office of The Comptroller,,0
New South Insurance Company,30,exact,New South Insurance Company,,0
PERMANENT GENERAL ASSURANCE CORPORATION,29,exact,Permanent General Assurance Corporation,,0
UNITED SERVICES AUTOMOBILE ASSOCIATION,29,exact,United Services Automobile Association,,0
PREFERRED MUTUAL INSURANCE COMPANY,28,exact,Preferred Mutual Insurance Company,,0
Mitsui Sumitomo Insurance Company of America,28,exact,Mitsui Sumitomo Insurance Company of America,,0
STATE NATIONAL INSURANCE COMPANY,27,exact,"State National Insurance Company, Inc.",,0
NEW JERSEY MANUFACTURERS INSURANCE COMPANY,27,exact,New Jersey Manufacturers Insurance Company,,0
MID-CENTURY INSURANCE COMPANY,27,exact,Mid-Century Insurance Company,,0
BROADSPIRE INSURANCE COMPANY,26,exact,Broadspire Insurance Company,,0
