nf_value,count,tier,matched_canonical,brand,lev
STATE FARM INSURANCE COMPANY,5584,brand-generic,,State Farm,
PROGRESSIVE INSURANCE COMPANY,4989,brand-generic,,Progressive,
GEICO INS,3607,brand-generic,,GEICO,
GEICO,3530,brand-generic,,GEICO,
STATE FARM INSURANCE,3287,brand-generic,,State Farm,
MVAIC,3226,brand-generic,,MVAIC,
STATE FARM,2811,brand-generic,,State Farm,
PROGRESSIVE,2159,brand-generic,,Progressive,
GEICO INS NYPIP,2070,brand-generic,,GEICO,
GEICO NEW YORK,1960,brand-generic,,GEICO,
TRAVELERS PROPERTY AND CASUALTY COMPANY,1496,brand-generic,,Travelers,
LIBERTY MUTUAL INSURANCE,1437,brand-generic,,Liberty Mutual,
USAA,896,brand-generic,,USAA,
ALLSTATE FIRE CASUALTY INSURANCE COMPANY,732,brand-generic,,Allstate,
ALLSTATE,650,brand-generic,,Allstate,
USAA INSURANCE COMPANY,596,brand-generic,,USAA,
TRAVELERS INSURANCE,590,brand-generic,,Travelers,
GEICO INSURANCE,588,brand-generic,,GEICO,
TRAVELERS INSURANCE COMPANY,502,brand-generic,,Travelers,
ALLSTATE (NF),449,brand-generic,,Allstate,
ALLSTATE INSURANCE,357,brand-generic,,Allstate,
STATE FARM INS-NF,337,brand-generic,,State Farm,
INTEGON NATIONAL INS,319,brand-generic,,National General/Integon,
INTEGON INSURANCE COMPANY,282,brand-generic,,National General/Integon,
INTEGON NATIONAL INSURANCE CO C/O ASSIGNED RISK SOLUTIONS,243,brand-generic,,National General/Integon,
ALLSTATE INSURANCE C,234,brand-generic,,Allstate,
NATIONAL GENERAL INS,194,brand-generic,,National General/Integon,
NATIONWIDE,183,brand-generic,,Nationwide,
INTEGON NATIONAL INS. CO. D/B/A GMAC INS. CO.,178,brand-generic,,National General/Integon,
Integon National Insurance Company c/o Assigned Risk Solutions,157,brand-generic,,National General/Integon,
TRAVELERS,155,brand-generic,,Travelers,
HEREFORD INSURANCE CO.,150,brand-generic,,Hereford,
MOTOR VEHICLE ACCIDENT INDEMNITY COMPANY,119,brand-generic,,MVAIC,
LIBERTY MUTUAL GENERAL INSURANCE CO.,99,brand-generic,,Liberty Mutual,
PROGRESSIVE MEDICAL CLAIMS,84,brand-generic,,Progressive,
TRAVELERS INS,72,brand-generic,,Travelers,
STATE FARM MUTUAL INS CO.,60,brand-generic,,State Farm,
LIBERTY MUTUAL INSURANCE CORPORATION,55,brand-generic,,Liberty Mutual,
PROGRESSIVE GARDEN STATE INSURANCE COMPANY,51,brand-generic,,Progressive,
USAA CASUALTY INSURANCE,50,brand-generic,,USAA,
PROGRESSIVE INS. CO.,44,brand-generic,,Progressive,
HEREFORD AUTO INSURANCE COMPANY,40,brand-generic,,Hereford,
NATIONWIDE INSURANCE CO.,39,brand-generic,,Nationwide,
PROGRESSIVE NORTHEASTERN INSURANCE,29,brand-generic,,Progressive,
ALLSTATE INS,25,brand-generic,,Allstate,
INTEGON NATIONAL INSURANCE CO.,25,brand-generic,,National General/Integon,
LIBERTY MUTUAL,24,brand-generic,,Liberty Mutual,
STATE FARM CASUALTY AND CASUALTY COMPANY,23,brand-generic,,State Farm,
GEICO INSURANCE COMAPNY,22,brand-generic,,GEICO,
GEICO GENERAL INSURANCE CO.,18,brand-generic,,GEICO,
STATE FARM INSURANCE CO.,17,brand-generic,,State Farm,
LIBERTY MUTUAL PERSONAL INSURANCE COMPANY,16,brand-generic,,Liberty Mutual,
STATE FARM INS.,15,brand-generic,,State Farm,
HEREFORD INS. CO.,15,brand-generic,,Hereford,
TRAVELERS OF FLORIDA,13,brand-generic,,Travelers,
ALLSTATE NEW JERSEY PROPERTY AND CASUALTY INSURANCE COMPANY,13,brand-generic,,Allstate,
TRAVELERS PROPERTY CASUALTY COMPANY,12,brand-generic,,Travelers,
ALLSTATE INDEMNITY INSURANCE COMPANY,12,brand-generic,,Allstate,
"MVAIC,",12,brand-generic,,MVAIC,
ALLSTATE PROPERTY AND CASUALTY INS. CO.,11,brand-generic,,Allstate,
PROGRESSIVE CASUALTY INSURANCE CO.,10,brand-generic,,Progressive,
INTEGON GENERAL INSURANCE COMPANY,10,brand-generic,,National General/Integon,
STATE FARM INDEMNITY COMPANY,9,brand-generic,,State Farm,
INTEGON,9,brand-generic,,National General/Integon,
383 INTEGON NATIONAL INS CO,9,brand-generic,,National General/Integon,
MCC/NY NATIONWIDE MUTUAL INS,9,brand-generic,,Nationwide,
Liberty Mutual Ins Co,8,brand-generic,,Liberty Mutual,
PROGRESSIVE SELECT INSURANCE COMPANY,8,brand-generic,,Progressive,
USAA AUTO INSURANCE COMPANY,7,brand-generic,,USAA,
TRAVELERS EXCESS AND SURPLUS COMPANY,7,brand-generic,,Travelers,
TRAVELERS CASUALTY AND SURETY COMPANY,7,brand-generic,,Travelers,
ALLSTATE NEW JERSEY INSURANCE COMPANY,6,brand-generic,,Allstate,
TRAVELERS INDEMNITY CO.,6,brand-generic,,Travelers,
ADIRONDACK INSURANCE EXCHANGE c/o National General,6,brand-generic,,National General/Integon,
NATIONWIDE AFFINITY INSURANCE COMPANY,5,brand-generic,,Nationwide,
LIBERTY MUTUAL FIRE INSURANCE CO.,5,brand-generic,,Liberty Mutual,
LIBERTY MUTUAL GROUP,5,brand-generic,,Liberty Mutual,
TRAVELERS INSURANCE CO.,5,brand-generic,,Travelers,
PROGRESSIVE CLAIMS,5,brand-generic,,Progressive,
LIBERTY MUTUAL INSURANCE COMPANY C/O GENOTEQ INSURANCE COMPANY,4,brand-generic,,Liberty Mutual,
INTEGON INS. CO,4,brand-generic,,National General/Integon,
ALLSTATE INSURANCE CO.,4,brand-generic,,Allstate,
TRAVELERS INS CO,4,brand-generic,,Travelers,
FIRST LIBERTY MUTUAL INSURANCE COMPANY,4,brand-generic,,Liberty Mutual,
GEICO INSURANCE/AUTO,3,brand-generic,,GEICO,
GEICO INDEMNITY CO,3,brand-generic,,GEICO,
ALLSTATE INSURANCE COM,3,brand-generic,,Allstate,
ALLSTATE INSURANCE CO. II,3,brand-generic,,Allstate,
TRAVELERS AUTO INSURANCE,3,brand-generic,,Travelers,
TRAVELERS MELVILLE CLAIM,3,brand-generic,,Travelers,
PROGRESSIVE AUTO INSURANCE COMPANY,3,brand-generic,,Progressive,
ALLSTATE NEW JERSY PROPERTY AND CASUALTY INSURANCE,3,brand-generic,,Allstate,
NATIONWIDE INS CO,3,brand-generic,,Nationwide,
STATE FARM GUARANTY INSURANCE COMPANY,3,brand-generic,,State Farm,
Liberty Mutual Ins P O BOX 4836 Syracuse 13221 NY,3,brand-generic,,Liberty Mutual,
LIBERTY MUTUAL INS. CO.,3,brand-generic,,Liberty Mutual,
LIBERTY MUTUAL COMMERCIAL DEPT,3,brand-generic,,Liberty Mutual,
Progressive Southeastern Insurance,3,brand-generic,,Progressive,
GEICO NYPIP INS CO,3,brand-generic,,GEICO,
USAA CLAIMS DEPARTMENT,3,brand-generic,,USAA,
INTEGON C/O ASSIGNED RISK SOLUTIONS,2,brand-generic,,National General/Integon,
PROGRESSIVE CASUALTY INS. CO.,2,brand-generic,,Progressive,
Travelers Indemnity of Connecticut c/o Claim Service Bureau of NY Inc,2,brand-generic,,Travelers,
USAA AUTO INJURIES SOLUTIONS,2,brand-generic,,USAA,
LIBERTY MUTUAL FIRE INS. CO.,2,brand-generic,,Liberty Mutual,
PROGRESSIVE INSURANCE GROUP,2,brand-generic,,Progressive,
USAA CASUALTY INSURANCE CO.,2,brand-generic,,USAA,
INTEGON INS,2,brand-generic,,National General/Integon,
Travelers Indemnity of Connecticut c/o claims Service Bureau of NY Inc,2,brand-generic,,Travelers,
PROGRESSIVE PREMIER INSURANCE COMPANY,2,brand-generic,,Progressive,
TRAVELERS AUTO INSURANCE CO. OF NJ,2,brand-generic,,Travelers,
USAA General Ins Co.,2,brand-generic,,USAA,
PROGRESSIVE GULF INSURANCE COMPANY,2,brand-generic,,Progressive,
LIBERTY MUTUAL GENERAL INSURANCE COMPANY,2,brand-generic,,Liberty Mutual,
INTEGON INSURANCE COMPANY C/O NATIONAL LIABILITY,1,brand-generic,,National General/Integon,
STATE FARM INSURANCE COM,1,brand-generic,,State Farm,
PROGRESSIVE COUNTY MUTUAL INSURANCE COMPANY,1,brand-generic,,Progressive,
ALLSTATE INC. CO.,1,brand-generic,,Allstate,
ADIRONDACK INDEMNITY COMPANY c/o National General,1,brand-generic,,National General/Integon,
USAA MEDICAL MAIL DEPT,1,brand-generic,,USAA,
ALLSTATE INS. CO,1,brand-generic,,Allstate,
STATE FARM INS. CO.,1,brand-generic,,State Farm,
AMERICAN TRANSIT INSURANCE,1,brand-generic,,American Transit,
GMAC-NATIONAL GENERAL INSURANCE CO.,1,brand-generic,,National General/Integon,
GARRISON PROPERTY AND CASUALITY. A USAA SUBSIDIARY,1,brand-generic,,USAA,
LIBERTY MUTUAL AUTO INSURANCE,1,brand-generic,,Liberty Mutual,
STATE FARM INSURANCE COMPANIES CLAIM OFFICE,1,brand-generic,,State Farm,
Travelers Excess And Surplus Lines Company,1,brand-generic,,Travelers,
"PROGRESSIVE COUNTY MUTUAL INSURANCE COMPANY,",1,brand-generic,,Progressive,
PROGRESSIVE PREMIER INSURANCE COMPANY OF ILLINOIS,1,brand-generic,,Progressive,
INTEGON GENERAL INSURANCE- NYP,1,brand-generic,,National General/Integon,
SAFECO INSURANCE COMPANY,603,unmatched,AMCO Insurance Company,3
FARMERS INSURANCE COMPANY,465,unmatched,Bankers Insurance Company,3
MTA NEW YORK CITY TRANSIT,304,unmatched,StarNet Insurance Company,18
METROPOLITAN GROUP PROPERTY AND CASUALTY INSURANCE,287,unmatched,Farmers Group Property and Casualty Insurance Company,19
AVIS RENT A CAR SYSTEM LLC,273,unmatched,AXIS Reinsurance Company,15
SEDGWICK,214,unmatched,"CCMSI, Inc.",7
NEW YORK CENTRAL MUTUAL INSURANCE,181,unmatched,New York State Insurance Fund,16
BRISTOL WEST INSURANCE COMPANY,180,unmatched,Great Midwest Insurance Company,7
Enterprise Rent A Car C/O Rental Claims Services f/k/a Elco Claims Services,175,unmatched,,99
ASSIGNED RISK SOLUTIONS,174,unmatched,ACIG Insurance Company,18
PLYMOUTH ROCK INSURANCE COMPANY,156,unmatched,Crestbrook Insurance Company,9
Clear Blue Insurance Group,115,unmatched,Clear Blue Insurance Company,6
NEW SOUTH INSURANCE COMPANY D/B/A GMAC INSURANCE COMPANY,112,unmatched,First American Property & Casualty Insurance Company,31
Komodo Claims,111,unmatched,Sedgwick Claims,8
NATIONAL INSURANCE COMPANY,107,unmatched,GM National Insurance Company,3
Genoteq Insurance company,105,unmatched,Centre Insurance Company,4
HARTFORD INSURANCE,97,unmatched,StarStone Insurance SE,9
CHURCH MUTUAL INSURANCE COMPANY,90,unmatched,"Church Mutual Insurance Company, SI",3
KEMPER INSURANCE COMPANY,84,unmatched,EmPRO Insurance Company,3
REPUBLIC WESTERN INSURANCE COMPANY,82,unmatched,Republic-Franklin Insurance Company,7
NYC TRANSIT C/O CORVEL CORPORATION,81,unmatched,Endurance Assurance Corporation,17
RENTAL CLAIMS SERVICES,81,unmatched,"Great Plains Casualty, Inc.",14
SAFECO,81,unmatched,"CCMSI, Inc.",6
NEW YORK CENTRAL MUTUAL INS,80,unmatched,New York City Transit Authority,15
ADIRONDACK INSURANCE EXCHANGE,76,unmatched,Farmers Insurance Exchange,9
First Acceptance Insurance Company,71,unmatched,First Colonial Insurance Company,9
ESIS,69,unmatched,"CCMSI, Inc.",4
NYC OFFICE OF THE COMPTROLLER,67,unmatched,NGM Insurance Company,18
FARM FAMILY CASUALTY INSURANCE CO.,67,unmatched,Farmers Casualty Insurance Company,12
COUNTRYWIDE INSURANCE,66,unmatched,StarStone Insurance SE,12
NEW YORK CENTRAL MUTUAL FIRE INS,64,unmatched,New York City Transit Authority,17
SEDGWICK CLAIMS MANAGEMENT SERVICE,63,unmatched,"Sterling Insurance Cooperative, Inc.",23
NYCTA,62,unmatched,"CCMSI, Inc.",5
ADIRONDACK INSURANCE COMAPNY,62,unmatched,Argonaut Insurance Company,8
GENOTEQ CLAIM SERVICE,61,unmatched,Generali - U.S. Branch,13
NO INSURER SELECTED,60,unmatched,"XL Insurance America, Inc.",13
USSA,60,unmatched,"CCMSI, Inc.",4
ELRAC INC,59,unmatched,"CCMSI, Inc.",5
GOOD TO GO AUTO INSURANCE,59,unmatched,"Tesla General Insurance, Inc.",13
SAFE AUTO,58,unmatched,"CCMSI, Inc.",9
SEDGWICK INSURANCE OF NY,57,unmatched,Greenwich Insurance Company,9
PLYMOUTH ROCK CLAIMS DEPARTMENT,55,unmatched,Suffolk County Risk Management,21
"AFFIRMATIVE DIRECT INSURANCE COMPANY C/O Abrams Fensterman, LLP",53,unmatched,American Family Connect Property and Casualty Insurance Company,49
ACE AMERICAN INSURANCE COMPANY C/O ESIS INSURANCE COMPANY,52,unmatched,First American Property & Casualty Insurance Company,25
Global Liberty Insurance Company,51,unmatched,Glatfelter Insurance Company,9
"Avis Budget Group, Inc. c/o Sedgwick Claims Management Services",51,unmatched,Farmers Direct Property and Casualty Insurance Company,45
CURE AUTO INS,50,unmatched,Law Department,11
Met Life Insurance Company,49,unmatched,Metromile Insurance Company,4
PLYMOUTH ROCK ASSURANCE COMPANY,48,unmatched,Vantage Risk Assurance Company,10
AVIS BUDGET GROUP,48,unmatched,Avis Rent a Car,10
ELRAC LLC C/O ELCO CLAIM SERVICES,48,unmatched,Helmsman Management Services,18
HANOVER INSURANCE,48,unmatched,Hannover Ruck SE,8
ACCIDENT FUND INSURANCE COMPANY OF AMERICA C/O GENOTEQ CLAIMS INVESTIGATIONS INC,48,unmatched,,99
METROPOLITAN CASUALTY INSURANCE COMPANY,48,unmatched,Carolina Casualty Insurance Company,7
"CLEAR BLUE INSURANCE COMPANY C/O NETWORK ADJUSTERS, INC",45,unmatched,Travelers Casualty Insurance Company of America,32
NYC HOUSING AUTHORITY C/O UNITED CLAIM SERVICES,45,unmatched,Nationwide Affinity Insurance Company of America,35
Rental Claims P.O.Box 14392 lexington 40512 KY,45,unmatched,Clear Spring Property and Casualty Company,36
AMERICAN COUNTRY INSURANCE COMPANY,43,unmatched,American Economy Insurance Company,4
MERCURY CASUALTY INSURANCE COMPANY,43,unmatched,MEDMARC Casualty Insurance Company,4
UTICA INSURANCE CO.,42,unmatched,TIG Insurance Company,8
OFFICE OF THE COMPTROLLER DIVISION OF LAW-RM.,42,unmatched,"Mapfre Re, Compania de Reaseguros, S.A.",28
Peak Property and Casualty Insurance Corp,41,unmatched,ACE Property and Casualty Insurance Company,8
OLD REPUBLIC INSURANCE C/O SEDGWICK CLAIMS MANAGEMENT SERVICES INC,40,unmatched,Otsego County Patrons Co-operative Fire Relief Association,50
MVIAC,40,unmatched,"CCMSI, Inc.",5
AMERICAN ACCESS CASUALTY CO,40,unmatched,Great West Casualty Company,15
ESIS INS.,38,unmatched,"CCMSI, Inc.",6
CHUBB INSURANCE COMPANY,38,unmatched,Church Insurance Company,3
NEW YORK CENTRAL MUTUAL,38,unmatched,"Tesla General Insurance, Inc.",16
AMERICAN MODERN SELECT INSURANCE COMPANY,38,unmatched,American Modern Home Insurance Company,5
NY MARINE AND GENERAL INSURANCE COMPANY,37,unmatched,Accident Fund General Insurance Company,10
NJM INSURANCE GROUP,37,unmatched,NGM Insurance Company,7
AMERICAN COUNTRY INS,37,unmatched,Corvel Corporation,14
GOVERMENT EMPLOYEES INSURANCE CO,37,unmatched,Pacific Employers Insurance Company,15
MERCHANTS INSURANCE COMPANY,37,unmatched,Merastar Insurance Company,5
OMNI INSURANCE COMPANY,37,unmatched,AMCO Insurance Company,3
HERTZ VEHICLES LLC,36,unmatched,Hannover Ruck SE,12
CITY OF NY OFF OF COMPTROLLER,35,unmatched,Cim Insurance Corporation,20
SEDGWICK CLAIMS MANAGEMENT,34,unmatched,Suffolk County Risk Management,15
MEDLOGIX,34,unmatched,"CCMSI, Inc.",7
Auto Club Country Mutual Insurance Company,33,unmatched,Oswego County Mutual Insurance Company,9
KEMPER INSURANCE,30,unmatched,Generali - U.S. Branch,11
WRIGHT RISK MANAGEMENT,29,unmatched,Executive Risk Indemnity Inc.,15
AMERICAN NATIONAL INSURANCE COMPANY,29,unmatched,American Sentinel Insurance Company,5
FIRST ACCEPTANCE INSURANCE,29,unmatched,StarStone Insurance SE,13
SAFECO INS. CO.,29,unmatched,Avis Rent a Car,12
CLAIMS SERVICE BUREAU OF NEW YORK,29,unmatched,"XL Insurance Company of New York, Inc.",14
ACE ESIS,28,unmatched,"CCMSI, Inc.",5
AUTO OWNERS INS CO,27,unmatched,Avis Rent a Car,13
AFFIRMATIVE DIRECT INSURANCE COMPANY C/O ABRAM FENSTERMAN LLP,26,unmatched,American Family Connect Property and Casualty Insurance Company,48
COUNTRY WIDE INS. CO.,26,unmatched,"Tokio Marine GRV Re, Inc.",14
SEDGEWICK,25,unmatched,"CCMSI, Inc.",8
DIRECT GENERAL INSURANCE COMPANY,25,unmatched,Agri General Insurance Company,5
HAGERTY INSURANCE COMPANY,25,unmatched,Bantry Insurance Company,4
GALLAGHER & BASSETT,25,unmatched,Gallagher Bassett,4
Risk Placement Services,25,unmatched,"Great Plains Casualty, Inc.",17
NETWORK ADJUSTERS,24,unmatched,Sedgwick Claims,13
GLOBAL LIBERTY,24,unmatched,Law Department,12
SEDGWICK INSURANCE COMPANY,24,unmatched,Greenwich Insurance Company,5
DIRECT AUTO,23,unmatched,Avis Rent a Car,9
FIDUCIARY INS CO OF AMERICA,23,unmatched,"Munich Reinsurance America, Inc.",14
SAFE AUTO INSURANCE COMPANY,23,unmatched,AVEMCO Insurance Company,6
AMERICAN FAMILY INSURANCE CO,23,unmatched,American Pet Insurance Company,11
UTICA NATIONAL INS.,23,unmatched,Avis Rent a Car,14
CHURCH MUTUAL INS,23,unmatched,Black Car Fund,13
INSHUR INSURANCE COMPANY,22,unmatched,ACSTAR Insurance Company,4
INFINITY INSURANCE,22,unmatched,StarStone Insurance SE,12
ABRAMS & FENSTERMAN NY CLAIMS,22,unmatched,Crum & Forster Indemnity Company,19
NEW YORK CENTRAL MUTUAL FIRE INSURANCE CO.,22,unmatched,Providence Mutual Fire Insurance Company,18
NATIONAL LIABILITY AND FIRE INS C/O ASSIGNED RISK SOLUTIONS,22,unmatched,Otsego County Patrons Co-operative Fire Relief Association,46
BRISTOL WEST CLAIMS SERVICE,22,unmatched,Great West Casualty Company,18
Mitsui Sumitomo Insurance Company of America C/O Sedgwick Claims,22,unmatched,American Family Connect Property and Casualty Insurance Company,53
INSHUR INS,21,unmatched,Black Car Fund,11
SEDWICK CLAIMS MANAG,21,unmatched,GEICO Casualty Company,15
AMERICAN STATES,21,unmatched,Sedgwick Claims,11
PHILADELPHIA  INDEMNITY INSURANCE,21,unmatched,Cincinnati Indemnity Company,17
SEDGWICK INS. CO.,20,unmatched,Sedgwick Claims,6
NEW YORK CENTRAL MUTUAL INSURANCE CO.,20,unmatched,Oswego County Mutual Insurance Company,16
"ABRAMS, FENSTERMAN, EISMAN, FORNATO",20,unmatched,Agri General Insurance Company,20
NATIONAL DOCUMENT CENTER INSURANCE CO.,20,unmatched,National Continental Insurance Company,14
OLD REPUBLIC INSURANCE,19,unmatched,"Tesla General Insurance, Inc.",11
UNITED AUTOMOBILE INSURANCE COMPANY,19,unmatched,American Automobile Insurance Company,7
GAINSCO AUTO INSURANCE COMPANY,19,unmatched,Infinity Auto Insurance Company,6
STATE AUTO INSURANCE COMPANY,19,unmatched,Gateway Insurance Company,6
NEW YORK CITY TRANSIT AUTHORITY INSURANCE COMPANY,19,unmatched,New York Central Mutual Fire Insurance Company,16
FARM FAMILY MUTUAL INSURANCE CO.,19,unmatched,Amica Mutual Insurance Company,13
GLACIER BAY,18,unmatched,Black Car Fund,9
AVIS BUDGET INSURANCE COMPANY,18,unmatched,Palisades Insurance Company,7
METLIFE INSURANCE COMPANY,17,unmatched,Erie Insurance Company,4
MAYA ASSURANCE INSURANCE COMPANY,17,unmatched,Infinity Assurance Insurance Company,8
ATLANTIC CASUALTY INSURANCE,17,unmatched,Columbia Casualty Company,13
Tri Star Risk Management Clinton 52733 IA,17,unmatched,Tri-State Insurance Company of Minnesota,28
NEW JERSEY MANUFACTU,16,unmatched,"Great Plains Casualty, Inc.",15
PROSIGHT SPECIALTY I,16,unmatched,Ironshore Indemnity Inc.,15
SAFETY NATIONAL CASUALTY,16,unmatched,"Great Plains Casualty, Inc.",11
SAFE AUTO INS.,16,unmatched,Law Department,10
DIRECT AUTO INSURANCE,16,unmatched,StarStone Insurance SE,13
NORTH AMERICAN RISK,16,unmatched,"Tokio Marine GRV Re, Inc.",14
ESURANCE INS CO,15,unmatched,Avis Rent a Car,12
NATIONAL LIBERTY AND FIRE INSURANCE COMPANY,15,unmatched,National Liability & Fire Insurance Company,4
ELCO,15,unmatched,"CCMSI, Inc.",5
NYC TRANSIT AUTHORITY INSURANCE COMPANY,15,unmatched,Accelerant National Insurance Company,14
BUDGET RENT A CAR CLAIMS DEPARTMENT,15,unmatched,BITCO General Insurance Corporation,26
NATIONAL LIABILITY INSURANCE COMPANY,14,unmatched,National Specialty Insurance Company,6
TRISTATE INSURANCE COMPANY,14,unmatched,Allstate Insurance Company,3
Midvale Insurance Company,14,unmatched,Midrox Insurance Company,4
"Old Republic Insurance Company C/O NORTH AMERICAN RISK SERVICES, INC.",14,unmatched,American Family Connect Property and Casualty Insurance Company,52
GALLAGHER BASSETT INSURANCE COMPANY WC,14,unmatched,Farmers Casualty Insurance Company,15
THE HARTFORD,14,unmatched,"CCMSI, Inc.",8
PRIVILEGE UNDERWRITERS,14,unmatched,Ironshore Indemnity Inc.,14
AMICA INSURANCE,13,unmatched,Avis Rent a Car,11
ENTERPRISE INSURANCE COMPANY,13,unmatched,Centre Insurance Company,6
ENCOMPASS INSURANCE,13,unmatched,Generali - U.S. Branch,12
Prosight Specialty Insurance,13,unmatched,MSIG Specialty Insurance USA Inc.,9
GALLAGHER BASSETT SERVICES,13,unmatched,Helmsman Management Services,15
NY CENTRAL MUTUAL INS.,13,unmatched,NYC Transit Authority,14
ABI BUSINESS INSURANCE COMPANY,13,unmatched,Wausau Business Insurance Company,5
NEW YORK BLACK CAR FUND,13,unmatched,NGM Insurance Company,17
ZURICH,12,unmatched,"CCMSI, Inc.",6
TRISTATE CONSUMER INSURANCE COMPANY,12,unmatched,Crum and Forster Insurance Company,10
FARMERS INSURANCE GROUP,12,unmatched,"Farmers Insurance Hawaii, Inc.",6
LANCER INSURANCE,12,unmatched,Generali - U.S. Branch,11
COURIER CAR RENTAL,12,unmatched,Corvel Corporation,11
ERIE INSURANCE GROUP,12,unmatched,Erie Insurance Company,6
CITY OF NEW YORK,12,unmatched,Avis Rent a Car,13
ENTERPRISE HOLDINGS,12,unmatched,Generali - U.S. Branch,13
HERTZ INSURANCE COMPANY,12,unmatched,Cerity Insurance Company,3
Cover Me Insurance,12,unmatched,Generali - U.S. Branch,11
SAFETY INSURANCE COMPANY,12,unmatched,Bantry Insurance Company,4
HANOVER INSURANCE GROUP,12,unmatched,Hanover Insurance Company,6
NEW YORK CENTRAL INSURANCE COMPANY,12,unmatched,GEICO General Insurance Company,8
NYS Worker''s Compensation Board 100 Broadway Albany 12241 NY,11,unmatched,Swiss Re Corporate Solutions Elite Insurance Corporation,48
SEDGWICK CLAIMS SERVICES,11,unmatched,Helmsman Management Services,15
ENTERPRISE RENT A CAR INS.,11,unmatched,Western Surety Company,15
NYCM Insurance,11,unmatched,Avis Rent a Car,12
American Business Insurance,11,unmatched,"Tesla General Insurance, Inc.",13
U-HAUL COMPANY C/O REPWEST INSURANCE COMPANY,11,unmatched,Callicoon Co-operative Insurance Company,18
PHILADELPHIA INSURANCE COMPANY,11,unmatched,Intrepid Insurance Company,8
TRANSIT GENERAL INSURANCE COMPANY,11,unmatched,Agri General Insurance Company,5
Enterprise (Rental Claims Services),11,unmatched,AXA XL Insurance Company Americas,24
ENTERPRISE DAMAGE RECOVERY UNIT,11,unmatched,Interboro Insurance Company,22
NEW YORK CITY TRANSIT,10,unmatched,Generali - U.S. Branch,15
MAIDSTONE INSURANCE,10,unmatched,StarStone Insurance SE,7
EAN HOLDINGS LLC.,10,unmatched,Black Car Fund,12
MAIN STREET AMERICAN INSURANCE COMPANY,10,unmatched,Main Street America Assurance Company,3
WASHINGTON INTERNATIONAL INSURANCE COMPANY,10,unmatched,Accident Fund National Insurance Company,13
ZURICH INSURANCE COMPANY,10,unmatched,Arch Insurance Company,3
ESIS CLAIMS,10,unmatched,Sedgwick Claims,6
MTA - TRANSIT AUTHORITY INSURANCE COMPANY,10,unmatched,Atlantic Specialty Insurance Company,13
MAIN STREET AMERICA,10,unmatched,"XL Insurance America, Inc.",9
PEARL HOLDING GROUP,10,unmatched,"Tokio Marine GRV Re, Inc.",14
BROADSPIRE (WC),10,unmatched,Law Department,11
CARDINAL CLAIM SERVICE INC,10,unmatched,Corvel Corporation,16
Assurance America Insurance Company,10,unmatched,Endurance American Insurance Company,4
"Elrac, LLC",10,unmatched,"CCMSI, Inc.",5
"Hertz Vehicles, LLC c/o ESIS Claims",10,unmatched,Heritage Indemnity Company,22
SEDGWICK CMS INSURANCE COMPANY,9,unmatched,Depositors Insurance Company,9
ASSURANCE AMERICA INSURANCE,9,unmatched,"Tesla General Insurance, Inc.",12
RENTAL CLAIM SERVICES,9,unmatched,Generali - U.S. Branch,15
NYSIF,9,unmatched,"CCMSI, Inc.",4
ESURANCE,9,unmatched,"CCMSI, Inc.",8
ARBELLA INS GROUP,9,unmatched,Generali - U.S. Branch,13
AMERICAN ACCESS CASUALTY INSURANCE COMPANY,9,unmatched,Ocean Harbor Casualty Insurance Company,11
Adirondack Insurance Exchange,9,unmatched,Farmers Insurance Exchange,9
AFFIRMATIVE INSURANCE COMPANY,9,unmatched,AGCS Marine Insurance Company,6
Palisades Safety & Insurance Association,9,unmatched,Erie and Niagara Insurance Association,17
DAVIES CLAIMS SOLUTIONS,9,unmatched,"Great Plains Casualty, Inc.",16
CNA CONTINENTAL CASUALTY,9,unmatched,Continental Casualty Company,12
21ST CENTURY,9,unmatched,Avis Rent a Car,11
HERTZ CLAIM MANAGEMENT C/O ESIS,8,unmatched,Helmsman Management Services,15
UTICA NATIONAL,8,unmatched,Black Car Fund,11
LANCER INSURANCE CO.,8,unmatched,ACIG Insurance Company,9
GERBER & GERBER,8,unmatched,Avis Rent a Car,13
THE HARTFORD INS. CO.,8,unmatched,Avis Rent a Car,12
CLEAR BLUE INSURANCE C/O NETWORK ADJUSTERS,8,unmatched,Curative Insurance Company of Illinois,24
NYC OFFICE OF COMPTROLLER,8,unmatched,NGM Insurance Company,18
GUIDE ONE INSURANCE,8,unmatched,StarStone Insurance SE,9
CHARTER OAK FIRE INSURANCE,8,unmatched,"Tesla General Insurance, Inc.",14
GENOTEQ CLAIMS INVESTIGATIONS,8,unmatched,General Reinsurance Corporation,20
GALLAGHER BASSETT SERVICES C/O XL INSURANCE AMERICA,8,unmatched,Fair American Insurance and Reinsurance Company,31
COUNTRYWAY-PERSONAL INSURANCE COMPANY,8,unmatched,TravCo Personal Insurance Company,8
The General Automobile Insurance Company,8,unmatched,American Automobile Insurance Company,6
COUNTRY WIDE INSURANCE COMPANY CLAIMS DEPT,8,unmatched,Curative Insurance Company of Illinois,17
ENTERPRISE INSURANCE,7,unmatched,StarStone Insurance SE,10
ELCO INSURANCE,7,unmatched,Black Car Fund,11
FARMERS INSURANCE COMPANY INC,7,unmatched,Bankers Insurance Company,3
EVEREADY INSURANCE COMPANY,7,unmatched,Berkley Insurance Company,5
ELECTRIC INSURANCE COMPANY,7,unmatched,Select Insurance Company,4
