nf_value,count,canonical,kind
OLD REPUBLIC INSURANCE C/O SEDGWICK CLAIMS MANAGEMENT SERVICES INC,40,Sedgwick Claims,TPA (+Sedgewick typo)
MVIAC,40,Motor Vehicle Accident Indemnification Corporation,curated (+MVIAC typo)
NATIONWIDE INSURANCE CO.,39,Nationwide Property and Casualty Insurance Company,brand-generic -> flagship
ESIS INS.,38,ESIS Insurance Company,TPA
CITY OF NY OFF OF COMPTROLLER,35,The City of New York Office of The Comptroller,govt self-insured
SEDGWICK CLAIMS MANAGEMENT,34,Sedgwick Claims,TPA (+Sedgewick typo)
MERCURY INSURANCE COMPANY,33,Mercury Casualty Company,brand-generic -> flagship
KEMPER INSURANCE,30,Kemper Independence Insurance Company,brand-generic -> flagship
SAFECO INS. CO.,29,Safeco National Insurance Company,brand-generic -> flagship
PROGRESSIVE NORTHEASTERN INSURANCE,29,Progressive Casualty Insurance Company,brand-generic -> flagship
ACE ESIS,28,ESIS Insurance Company,TPA
ALLSTATE INS,25,Allstate Insurance Company,brand-generic -> flagship
LIBERTY MUTUAL,24,Liberty Mutual Insurance Company,brand-generic -> flagship
SEDGWICK INSURANCE COMPANY,24,Sedgwick Claims,TPA (+Sedgewick typo)
STATE FARM CASUALTY AND CASUALTY COMPANY,23,State Farm Mutual Automobile Insurance Company,brand-generic -> flagship
INFINITY INSURANCE,22,Infinity Insurance Company,brand-generic -> flagship
GEICO INSURANCE COMAPNY,22,Government Employees Insurance Company,brand-generic -> flagship
BRISTOL WEST CLAIMS SERVICE,22,21st Century Casualty Company,curated (REVIEW: Bristol West usually Farmers)
SEDGWICK INS. CO.,20,Sedgwick Claims,TPA (+Sedgewick typo)
NEW YORK CITY TRANSIT AUTHORITY INSURANCE COMPANY,19,New York City Transit Authority,self-insured
AVIS BUDGET INSURANCE COMPANY,18,Avis Rent a Car,rental self-insured
METLIFE INSURANCE COMPANY,17,Metropolitan General Insurance Company,brand-generic -> flagship
STATE FARM INSURANCE CO.,17,State Farm Mutual Automobile Insurance Company,brand-generic -> flagship
LIBERTY MUTUAL PERSONAL INSURANCE COMPANY,16,Liberty Mutual Insurance Company,brand-generic -> flagship
STATE FARM INS.,15,State Farm Mutual Automobile Insurance Company,brand-generic -> flagship
NYC TRANSIT AUTHORITY INSURANCE COMPANY,15,New York City Transit Authority,self-insured
THE HARTFORD,14,Hartford Underwriters Insurance Company,brand-generic -> flagship
TRAVELERS OF FLORIDA,13,Travelers Property Casualty Company of America,brand-generic -> flagship
ENTERPRISE INSURANCE COMPANY,13,"Elrac, Inc. d/b/a Enterprise Rent a Car",rental self-insured (+Rental Claims Svcs)
ALLSTATE NEW JERSEY PROPERTY AND CASUALTY INSURANCE COMPANY,13,Allstate Insurance Company,brand-generic -> flagship
TRAVELERS PROPERTY CASUALTY COMPANY,12,Travelers Property Casualty Company of America,brand-generic -> flagship
FARMERS INSURANCE GROUP,12,Farmers Property and Casualty Insurance Company,brand-generic -> flagship
ALLSTATE INDEMNITY INSURANCE COMPANY,12,Allstate Insurance Company,brand-generic -> flagship
ENTERPRISE HOLDINGS,12,"Elrac, Inc. d/b/a Enterprise Rent a Car",rental self-insured (+Rental Claims Svcs)
HANOVER INSURANCE GROUP,12,Hanover Insurance Company,brand-generic -> flagship
"MVAIC,",12,Motor Vehicle Accident Indemnification Corporation,curated (+MVIAC typo)
SEDGWICK CLAIMS SERVICES,11,Sedgwick Claims,TPA (+Sedgewick typo)
ENTERPRISE RENT A CAR INS.,11,"Elrac, Inc. d/b/a Enterprise Rent a Car",rental self-insured (+Rental Claims Svcs)
Enterprise (Rental Claims Services),11,"Elrac, Inc. d/b/a Enterprise Rent a Car",rental self-insured (+Rental Claims Svcs)
ENTERPRISE DAMAGE RECOVERY UNIT,11,"Elrac, Inc. d/b/a Enterprise Rent a Car",rental self-insured (+Rental Claims Svcs)
NEW YORK CITY TRANSIT,10,New York City Transit Authority,self-insured
INTEGON GENERAL INSURANCE COMPANY,10,National General Insurance Company,brand-generic -> flagship
ESIS CLAIMS,10,ESIS Insurance Company,TPA
MTA - TRANSIT AUTHORITY INSURANCE COMPANY,10,New York City Transit Authority,self-insured
"Hertz Vehicles, LLC c/o ESIS Claims",10,ESIS Insurance Company,TPA
STATE FARM INDEMNITY COMPANY,9,State Farm Mutual Automobile Insurance Company,brand-generic -> flagship
SEDGWICK CMS INSURANCE COMPANY,9,Sedgwick Claims,TPA (+Sedgewick typo)
INTEGON,9,National General Insurance Company,brand-generic -> flagship
383 INTEGON NATIONAL INS CO,9,National General Insurance Company,brand-generic -> flagship
21ST CENTURY,9,21st Century Insurance Company,brand-generic -> flagship
MCC/NY NATIONWIDE MUTUAL INS,9,Nationwide Property and Casualty Insurance Company,brand-generic -> flagship
HERTZ CLAIM MANAGEMENT C/O ESIS,8,ESIS Insurance Company,TPA
NYC OFFICE OF COMPTROLLER,8,The City of New York Office of The Comptroller,govt self-insured
PROGRESSIVE SELECT INSURANCE COMPANY,8,Progressive Casualty Insurance Company,brand-generic -> flagship
